peak_utc,peak_counts,class_like
2024-05-15 00:01:09,27.9,B/A
2024-05-15 00:03:31,30.3,B/A
2024-05-15 00:06:43,30.0,B/A
2024-05-15 00:10:03,28.1,B/A
2024-05-15 00:12:37,28.0,B/A
2024-05-15 00:15:33,29.5,B/A
2024-05-15 00:17:39,31.1,B/A
2024-05-15 00:20:33,30.0,B/A
2024-05-15 00:22:56,28.4,B/A
2024-05-15 00:25:27,28.8,B/A
2024-05-15 00:27:28,29.8,B/A
2024-05-15 00:29:51,28.1,B/A
2024-05-15 00:32:28,27.0,B/A
2024-05-15 00:35:23,28.9,B/A
2024-05-15 00:39:35,28.8,B/A
2024-05-15 00:41:41,28.1,B/A
2024-05-15 00:43:50,30.1,B/A
2024-05-15 00:47:25,29.9,B/A
2024-05-15 00:50:14,29.6,B/A
2024-05-15 00:52:34,28.6,B/A
2024-05-15 00:54:40,29.0,B/A
2024-05-15 00:58:48,27.6,B/A
2024-05-15 01:02:35,31.2,B/A
2024-05-15 01:04:43,28.0,B/A
2024-05-15 01:07:04,29.4,B/A
2024-05-15 01:10:24,28.6,B/A
2024-05-15 01:12:25,30.2,B/A
2024-05-15 01:14:50,28.9,B/A
2024-05-15 01:17:01,27.5,B/A
2024-05-15 01:19:11,29.5,B/A
2024-05-15 01:21:25,29.3,B/A
2024-05-15 01:23:36,29.6,B/A
2024-05-15 01:26:53,29.6,B/A
2024-05-15 01:28:55,30.7,B/A
2024-05-15 01:31:38,29.5,B/A
2024-05-15 01:33:54,28.8,B/A
2024-05-15 01:37:24,30.0,B/A
2024-05-15 01:40:21,29.1,B/A
2024-05-15 01:42:26,31.3,B/A
2024-05-15 01:44:39,27.4,B/A
2024-05-15 01:46:54,31.6,B/A
2024-05-15 01:49:00,29.4,B/A
2024-05-15 01:51:19,29.3,B/A
2024-05-15 01:53:20,30.4,B/A
2024-05-15 01:55:33,30.6,B/A
2024-05-15 01:57:50,31.0,B/A
2024-05-15 01:59:53,35.1,B/A
2024-05-15 02:01:59,34.3,B/A
2024-05-15 02:06:26,29.3,B/A
2024-05-15 02:08:35,28.2,B/A
2024-05-15 02:11:39,31.4,B/A
2024-05-15 02:14:01,29.7,B/A
2024-05-15 02:16:53,29.4,B/A
2024-05-15 02:19:13,28.7,B/A
2024-05-15 02:21:17,28.5,B/A
2024-05-15 02:23:25,28.3,B/A
2024-05-15 02:26:23,28.0,B/A
2024-05-15 02:28:34,28.0,B/A
2024-05-15 02:30:50,30.5,B/A
2024-05-15 02:33:06,27.6,B/A
2024-05-15 02:35:24,29.6,B/A
2024-05-15 02:37:39,30.1,B/A
2024-05-15 02:40:12,28.1,B/A
2024-05-15 02:43:36,28.7,B/A
2024-05-15 02:46:46,29.0,B/A
2024-05-15 02:50:02,29.8,B/A
2024-05-15 02:52:18,29.8,B/A
2024-05-15 02:54:28,33.8,B/A
2024-05-15 02:58:05,30.3,B/A
2024-05-15 03:00:34,28.6,B/A
2024-05-15 03:02:42,30.5,B/A
2024-05-15 03:05:09,29.0,B/A
2024-05-15 03:07:11,30.7,B/A
2024-05-15 03:09:57,31.0,B/A
2024-05-15 03:12:02,27.1,B/A
2024-05-15 03:14:19,30.8,B/A
2024-05-15 03:16:22,29.7,B/A
2024-05-15 03:21:34,29.2,B/A
2024-05-15 03:23:52,27.4,B/A
2024-05-15 03:26:19,28.9,B/A
2024-05-15 03:28:44,29.9,B/A
2024-05-15 03:31:28,28.2,B/A
2024-05-15 03:33:53,28.7,B/A
2024-05-15 03:35:55,30.7,B/A
2024-05-15 03:38:01,27.8,B/A
2024-05-15 03:40:52,30.5,B/A
2024-05-15 03:44:00,28.2,B/A
2024-05-15 03:47:19,29.2,B/A
2024-05-15 03:50:28,28.0,B/A
2024-05-15 03:52:35,30.8,B/A
2024-05-15 03:54:51,29.6,B/A
2024-05-15 03:59:03,28.2,B/A
2024-05-15 04:01:15,30.0,B/A
2024-05-15 04:03:27,27.9,B/A
2024-05-15 04:05:35,28.3,B/A
2024-05-15 04:07:41,31.8,B/A
2024-05-15 04:10:06,29.2,B/A
2024-05-15 04:12:22,29.8,B/A
2024-05-15 04:14:26,27.3,B/A
2024-05-15 04:16:52,28.0,B/A
2024-05-15 04:19:34,27.2,B/A
2024-05-15 04:22:43,28.3,B/A
2024-05-15 04:24:56,29.0,B/A
2024-05-15 04:27:12,26.6,B/A
2024-05-15 04:30:17,28.2,B/A
2024-05-15 04:32:19,29.8,B/A
2024-05-15 04:35:01,30.1,B/A
2024-05-15 04:37:59,30.6,B/A
2024-05-15 04:40:54,27.4,B/A
2024-05-15 04:43:42,27.9,B/A
2024-05-15 04:45:44,30.7,B/A
2024-05-15 04:47:55,27.3,B/A
2024-05-15 04:51:23,30.2,B/A
2024-05-15 04:54:53,28.7,B/A
2024-05-15 04:57:32,30.2,B/A
