peak_time,class,peak_flux
2026-09-08 12:24:00,C2.4,2.4685575681360206e-06
2026-09-08 15:34:00,B6.1,6.108404022597824e-07
2026-09-08 15:51:00,B6.2,6.205974614204024e-07
2026-09-08 17:43:00,C2.8,2.8236672733328305e-06
2026-09-08 20:07:00,B6.4,6.492067541330471e-07
2026-09-08 20:43:00,C1.2,1.2851158999183099e-06
2026-09-08 21:48:00,C1.2,1.2282724810575019e-06
2026-09-08 22:24:00,C2.6,2.6854795578401536e-06
2026-09-08 23:39:00,C3.4,3.4986539958481444e-06
2026-09-09 04:46:00,B5.0,5.038754693487135e-07
2026-09-09 06:10:00,C1.5,1.596556103322655e-06
2026-09-09 10:32:00,C3.2,3.2198402095673373e-06
2026-09-10 00:51:00,C1.4,1.419982140760112e-06
2026-09-10 07:46:00,B6.0,6.042977815923223e-07
2026-09-10 13:50:00,B5.6,5.667396862918395e-07
2026-09-10 17:12:00,C1.6,1.619128511265444e-06
2026-09-10 20:07:00,B8.1,8.120343295558996e-07
2026-09-10 23:36:00,B6.5,6.569279094037483e-07
2026-09-11 01:14:00,B5.3,5.391784725361504e-07
2026-09-11 14:03:00,B5.8,5.829851943417452e-07
2026-09-11 21:49:00,B5.8,5.821242439196794e-07
2026-09-11 22:36:00,B7.8,7.802497634656902e-07
2026-09-11 23:14:00,B8.5,8.548950631848129e-07
2026-09-12 05:26:00,B5.2,5.264486162559479e-07
2026-09-12 05:51:00,B6.1,6.133620900072856e-07
2026-09-12 07:39:00,B5.5,5.59188890747464e-07
2026-09-12 11:52:00,B7.7,7.750425083941082e-07
2026-09-12 13:44:00,B6.3,6.374278882503859e-07
2026-09-12 16:13:00,B8.9,8.930078934099583e-07
2026-09-12 16:23:00,B8.3,8.319618700625142e-07
2026-09-12 17:20:00,C5.8,5.856938514625654e-06
2026-09-12 18:30:00,B8.3,8.319474318341236e-07
2026-09-12 22:32:00,B4.7,4.7752649834365e-07
2026-09-12 23:03:00,B6.7,6.765262128283211e-07
2026-09-12 23:23:00,B9.6,9.67197024692723e-07
2026-09-13 03:21:00,B5.3,5.305181502990308e-07
2026-09-13 06:07:00,B5.2,5.253311883279821e-07
2026-09-13 10:48:00,B5.5,5.592851266555954e-07
2026-09-13 18:01:00,B9.2,9.299994871980743e-07
2026-09-14 14:33:00,B9.9,9.986259783545393e-07
